classifier,classification_type,feature,max_ROI,gentl_result_param,accuracy,f1_score,precision,sensitivity,specificity
svm,early_vs_late_stage,dissimilarity,20,average_best_absolute_distance_results,73.85,60.16,68.11,59.67,33.33
svm,ptc_vs_mibc,dissimilarity,20,average_best_absolute_distance_results,61.92,61.37,63.86,62.98,74.29
svm,cancer_invasion,dissimilarity,20,average_generation_absolute_distance_results,66.15,60.21,59.67,61.78,48.0
svm,cancer_stage,dissimilarity,20,average_generation_absolute_distance_results,9.98,8.29,9.48,9.96,85.85
svm,early_vs_late_stage,dissimilarity,20,average_generation_absolute_distance_results,76.92,63.14,69.21,61.67,33.33
svm,ptc_vs_mibc,dissimilarity,20,average_generation_absolute_distance_results,56.58,56.39,57.26,57.12,62.86
svm,cancer_invasion,dissimilarity,20,average_mean_absolute_distance_results,56.92,55.2,56.94,56.92,58.0
svm,cancer_stage,dissimilarity,20,average_mean_absolute_distance_results,22.96,18.81,20.51,24.75,86.01
svm,early_vs_late_stage,dissimilarity,20,average_mean_absolute_distance_results,63.08,55.94,57.8,59.67,53.33
svm,ptc_vs_mibc,dissimilarity,20,average_mean_absolute_distance_results,50.0,48.24,53.48,50.52,57.14
svm,cancer_invasion,dissimilarity,30,,75.38,72.81,74.12,72.39,62.0
svm,cancer_stage,dissimilarity,30,,30.99,17.92,16.74,19.82,85.61
svm,early_vs_late_stage,dissimilarity,30,,72.31,68.2,70.34,75.0,80.0
svm,ptc_vs_mibc,dissimilarity,30,,51.33,49.82,52.27,51.69,51.43
svm,cancer_invasion,dissimilarity,30,average_best_absolute_distance_results,56.92,53.79,58.0,53.97,41.0
svm,cancer_stage,dissimilarity,30,average_best_absolute_distance_results,23.05,14.14,15.17,20.65,89.24
svm,early_vs_late_stage,dissimilarity,30,average_best_absolute_distance_results,64.62,53.7,55.64,53.67,33.33
svm,ptc_vs_mibc,dissimilarity,30,average_best_absolute_distance_results,60.58,59.71,61.22,60.2,54.29
svm,cancer_invasion,dissimilarity,30,average_generation_absolute_distance_results,66.15,61.61,65.61,62.28,49.0
svm,cancer_stage,dissimilarity,30,average_generation_absolute_distance_results,22.96,18.1,23.25,21.7,89.04
svm,early_vs_late_stage,dissimilarity,30,average_generation_absolute_distance_results,60.0,53.93,56.99,57.67,53.33
svm,ptc_vs_mibc,dissimilarity,30,average_generation_absolute_distance_results,61.83,61.45,62.08,61.67,60.0
svm,cancer_invasion,dissimilarity,30,average_mean_absolute_distance_results,58.46,54.59,54.95,55.78,46.0
svm,cancer_stage,dissimilarity,30,average_mean_absolute_distance_results,21.0,27.81,29.85,33.6,84.67
svm,early_vs_late_stage,dissimilarity,30,average_mean_absolute_distance_results,66.15,55.86,56.98,57.0,40.0
svm,ptc_vs_mibc,dissimilarity,30,average_mean_absolute_distance_results,57.92,54.94,60.28,56.71,42.86
svm,cancer_invasion,dissimilarity,40,,75.38,72.81,74.12,72.39,62.0
svm,cancer_stage,dissimilarity,40,,30.99,17.92,16.74,19.82,85.61
svm,early_vs_late_stage,dissimilarity,40,,72.31,68.2,70.34,75.0,80.0
svm,ptc_vs_mibc,dissimilarity,40,,51.33,49.82,52.27,51.69,51.43
svm,cancer_invasion,dissimilarity,40,average_best_absolute_distance_results,63.08,58.23,67.07,58.75,45.0
svm,cancer_stage,dissimilarity,40,average_best_absolute_distance_results,18.03,10.83,11.27,11.49,85.4
svm,early_vs_late_stage,dissimilarity,40,average_best_absolute_distance_results,61.54,53.72,56.05,56.33,46.67
svm,ptc_vs_mibc,dissimilarity,40,average_best_absolute_distance_results,56.5,56.3,56.9,56.81,60.0
svm,cancer_invasion,dissimilarity,40,average_generation_absolute_distance_results,63.08,59.04,60.17,59.78,49.0
svm,cancer_stage,dissimilarity,40,average_generation_absolute_distance_results,19.96,13.56,15.13,14.87,86.62
svm,early_vs_late_stage,dissimilarity,40,average_generation_absolute_distance_results,67.69,58.59,60.52,60.33,46.67
svm,ptc_vs_mibc,dissimilarity,40,average_generation_absolute_distance_results,60.5,60.26,60.54,60.42,60.0
svm,cancer_invasion,dissimilarity,40,average_mean_absolute_distance_results,56.92,55.46,58.06,58.31,63.0
svm,cancer_stage,dissimilarity,40,average_mean_absolute_distance_results,17.97,17.4,17.56,27.82,87.51
svm,early_vs_late_stage,dissimilarity,40,average_mean_absolute_distance_results,66.15,57.79,64.27,59.33,46.67
svm,ptc_vs_mibc,dissimilarity,40,average_mean_absolute_distance_results,60.5,54.98,62.07,58.17,28.57
svm,cancer_invasion,dissimilarity,50,,75.38,72.81,74.12,72.39,62.0
svm,cancer_stage,dissimilarity,50,,30.99,17.92,16.74,19.82,85.61
svm,early_vs_late_stage,dissimilarity,50,,72.31,68.2,70.34,75.0,80.0
svm,ptc_vs_mibc,dissimilarity,50,,51.33,49.82,52.27,51.69,51.43
svm,cancer_invasion,dissimilarity,50,average_best_absolute_distance_results,61.54,57.28,59.39,57.31,41.0
svm,cancer_stage,dissimilarity,50,average_best_absolute_distance_results,22.99,21.06,25.87,25.35,86.32
svm,early_vs_late_stage,dissimilarity,50,average_best_absolute_distance_results,66.15,61.12,63.69,66.33,66.67
svm,ptc_vs_mibc,dissimilarity,50,average_best_absolute_distance_results,59.25,58.17,60.31,59.09,54.29
svm,cancer_invasion,dissimilarity,50,average_generation_absolute_distance_results,64.62,62.46,62.72,63.03,58.0
svm,cancer_stage,dissimilarity,50,average_generation_absolute_distance_results,23.95,14.18,13.2,18.48,86.04
svm,early_vs_late_stage,dissimilarity,50,average_generation_absolute_distance_results,69.23,59.77,60.59,61.33,46.67
svm,ptc_vs_mibc,dissimilarity,50,average_generation_absolute_distance_results,61.75,61.29,62.42,62.02,65.71
svm,cancer_invasion,dissimilarity,50,average_mean_absolute_distance_results,64.62,59.09,58.61,61.53,50.0
svm,cancer_stage,dissimilarity,50,average_mean_absolute_distance_results,12.0,10.2,7.31,19.76,86.48
svm,early_vs_late_stage,dissimilarity,50,average_mean_absolute_distance_results,67.69,56.97,58.03,58.0,40.0
svm,ptc_vs_mibc,dissimilarity,50,average_mean_absolute_distance_results,54.0,52.39,55.49,54.27,57.14
svm,cancer_invasion,correlation,10,,78.46,76.46,79.17,76.75,71.0
svm,cancer_stage,correlation,10,,20.97,18.29,18.21,20.31,86.24
svm,early_vs_late_stage,correlation,10,,69.23,57.16,57.58,59.0,40.0
svm,ptc_vs_mibc,correlation,10,,61.83,60.6,62.62,61.63,57.14
svm,cancer_invasion,correlation,10,average_best_absolute_distance_results,61.54,61.0,62.92,63.19,70.0
svm,cancer_stage,correlation,10,average_best_absolute_distance_results,19.01,14.79,17.94,20.51,86.57
svm,early_vs_late_stage,correlation,10,average_best_absolute_distance_results,55.38,52.04,57.79,59.33,66.67
svm,ptc_vs_mibc,correlation,10,average_best_absolute_distance_results,56.5,56.38,57.3,57.16,65.71
svm,cancer_invasion,correlation,10,average_generation_absolute_distance_results,58.46,56.67,58.06,58.17,58.0
svm,cancer_stage,correlation,10,average_generation_absolute_distance_results,21.93,16.12,19.67,21.46,86.8
svm,early_vs_late_stage,correlation,10,average_generation_absolute_distance_results,52.31,50.56,57.13,59.67,73.33
svm,ptc_vs_mibc,correlation,10,average_generation_absolute_distance_results,59.08,58.9,59.35,59.35,62.86
svm,cancer_invasion,correlation,10,average_mean_absolute_distance_results,56.92,55.96,57.07,56.83,57.0
svm,cancer_stage,correlation,10,average_mean_absolute_distance_results,22.01,19.67,25.92,24.08,87.07
svm,early_vs_late_stage,correlation,10,average_mean_absolute_distance_results,49.23,48.0,61.0,62.33,86.67
svm,ptc_vs_mibc,correlation,10,average_mean_absolute_distance_results,61.83,60.34,64.12,62.16,65.71
svm,cancer_invasion,correlation,20,,78.46,76.46,79.17,76.75,71.0
svm,cancer_stage,correlation,20,,20.97,18.29,18.21,20.31,86.24
svm,early_vs_late_stage,correlation,20,,69.23,57.16,57.58,59.0,40.0
svm,ptc_vs_mibc,correlation,20,,61.83,60.6,62.62,61.63,57.14
svm,cancer_invasion,correlation,20,average_best_absolute_distance_results,60.0,59.45,62.56,62.08,70.0
svm,cancer_stage,correlation,20,average_best_absolute_distance_results,24.03,22.65,24.95,29.24,87.69
svm,early_vs_late_stage,correlation,20,average_best_absolute_distance_results,61.54,60.08,67.14,72.67,93.33
svm,ptc_vs_mibc,correlation,20,average_best_absolute_distance_results,56.75,54.43,56.74,55.6,42.86
svm,cancer_invasion,correlation,20,average_generation_absolute_distance_results,60.0,58.27,59.09,58.44,53.0
svm,cancer_stage,correlation,20,average_generation_absolute_distance_results,25.13,19.37,20.18,25.01,85.74
svm,early_vs_late_stage,correlation,20,average_generation_absolute_distance_results,50.77,48.19,58.12,58.67,73.33
svm,ptc_vs_mibc,correlation,20,average_generation_absolute_distance_results,57.75,56.07,60.21,58.91,71.43
svm,cancer_invasion,correlation,20,average_mean_absolute_distance_results,61.54,60.52,63.45,62.44,66.0
svm,cancer_stage,correlation,20,average_mean_absolute_distance_results,20.02,17.09,19.74,20.35,86.15
svm,early_vs_late_stage,correlation,20,average_mean_absolute_distance_results,50.77,48.58,60.19,61.0,80.0
svm,ptc_vs_mibc,correlation,20,average_mean_absolute_distance_results,67.17,66.86,69.06,67.56,74.29
svm,cancer_invasion,correlation,30,,78.46,76.46,79.17,76.75,71.0
svm,cancer_stage,correlation,30,,20.97,18.29,18.21,20.31,86.24
svm,early_vs_late_stage,correlation,30,,69.23,57.16,57.58,59.0,40.0
svm,ptc_vs_mibc,correlation,30,,61.83,60.6,62.62,61.63,57.14
svm,cancer_invasion,correlation,30,average_best_absolute_distance_results,53.85,51.92,54.6,53.44,53.0
svm,cancer_stage,correlation,30,average_best_absolute_distance_results,19.01,19.83,30.64,24.12,88.68
svm,early_vs_late_stage,correlation,30,average_best_absolute_distance_results,55.38,53.86,63.17,66.33,86.67
svm,ptc_vs_mibc,correlation,30,average_best_absolute_distance_results,56.5,55.34,57.56,57.12,62.86
svm,cancer_invasion,correlation,30,average_generation_absolute_distance_results,58.46,55.01,58.71,54.94,41.0
svm,cancer_stage,correlation,30,average_generation_absolute_distance_results,27.9,24.61,29.99,28.84,88.04
svm,early_vs_late_stage,correlation,30,average_generation_absolute_distance_results,56.92,53.34,58.14,60.33,66.67
svm,ptc_vs_mibc,correlation,30,average_generation_absolute_distance_results,60.58,59.64,63.85,62.08,80.0
svm,cancer_invasion,correlation,30,average_mean_absolute_distance_results,60.0,59.54,63.56,63.47,75.0
svm,cancer_stage,correlation,30,average_mean_absolute_distance_results,16.99,14.76,17.01,24.68,87.08
svm,early_vs_late_stage,correlation,30,average_mean_absolute_distance_results,56.92,52.13,59.7,60.33,66.67
svm,ptc_vs_mibc,correlation,30,average_mean_absolute_distance_results,61.75,61.49,62.14,62.02,65.71
svm,cancer_invasion,correlation,40,,78.46,76.46,79.17,76.75,71.0
svm,cancer_stage,correlation,40,,20.97,18.29,18.21,20.31,86.24
svm,early_vs_late_stage,correlation,40,,69.23,57.16,57.58,59.0,40.0
svm,ptc_vs_mibc,correlation,40,,61.83,60.6,62.62,61.63,57.14
svm,cancer_invasion,correlation,40,average_best_absolute_distance_results,61.54,61.15,64.72,64.58,75.0
svm,cancer_stage,correlation,40,average_best_absolute_distance_results,12.06,12.4,15.25,17.93,84.5
svm,early_vs_late_stage,correlation,40,average_best_absolute_distance_results,53.85,45.94,55.89,58.33,66.67
svm,ptc_vs_mibc,correlation,40,average_best_absolute_distance_results,60.75,56.15,65.67,58.63,31.43
svm,cancer_invasion,correlation,40,average_generation_absolute_distance_results,63.08,62.36,64.92,64.44,70.0
svm,cancer_stage,correlation,40,average_generation_absolute_distance_results,27.04,23.18,25.35,27.89,87.68
svm,early_vs_late_stage,correlation,40,average_generation_absolute_distance_results,63.08,53.97,61.44,55.0,40.0
svm,ptc_vs_mibc,correlation,40,average_generation_absolute_distance_results,61.67,60.83,61.61,61.53,60.0
svm,cancer_invasion,correlation,40,average_mean_absolute_distance_results,61.54,60.97,62.51,63.42,71.0
svm,cancer_stage,correlation,40,average_mean_absolute_distance_results,14.97,12.44,11.39,21.1,86.81
svm,early_vs_late_stage,correlation,40,average_mean_absolute_distance_results,49.23,46.82,57.26,57.67,73.33
svm,ptc_vs_mibc,correlation,40,average_mean_absolute_distance_results,59.25,58.98,59.48,59.31,60.0
svm,cancer_invasion,correlation,50,,78.46,76.46,79.17,76.75,71.0
svm,cancer_stage,correlation,50,,20.97,18.29,18.21,20.31,86.24
svm,early_vs_late_stage,correlation,50,,69.23,57.16,57.58,59.0,40.0
svm,ptc_vs_mibc,correlation,50,,61.83,60.6,62.62,61.63,57.14
svm,cancer_invasion,correlation,50,average_best_absolute_distance_results,69.23,67.48,69.07,69.06,67.0
svm,cancer_stage,correlation,50,average_best_absolute_distance_results,18.92,16.7,18.07,21.18,86.61
svm,early_vs_late_stage,correlation,50,average_best_absolute_distance_results,61.54,57.94,61.35,65.67,73.33
svm,ptc_vs_mibc,correlation,50,average_best_absolute_distance_results,58.92,58.3,58.98,58.71,57.14
svm,cancer_invasion,correlation,50,average_generation_absolute_distance_results,63.08,61.98,63.64,63.83,66.0
svm,cancer_stage,correlation,50,average_generation_absolute_distance_results,16.01,15.67,18.86,24.4,86.83
svm,early_vs_late_stage,correlation,50,average_generation_absolute_distance_results,60.0,56.53,61.08,64.67,73.33
svm,ptc_vs_mibc,correlation,50,average_generation_absolute_distance_results,60.58,59.21,65.77,62.44,85.71
svm,cancer_invasion,correlation,50,average_mean_absolute_distance_results,58.46,58.28,63.05,62.69,79.0
svm,cancer_stage,correlation,50,average_mean_absolute_distance_results,18.09,13.01,14.11,18.41,86.45
svm,early_vs_late_stage,correlation,50,average_mean_absolute_distance_results,53.85,50.87,59.23,60.67,73.33
svm,ptc_vs_mibc,correlation,50,average_mean_absolute_distance_results,59.33,59.07,59.9,59.62,62.86
svm,cancer_invasion,energy,10,,73.85,69.99,71.3,69.89,57.0
svm,cancer_stage,energy,10,,22.96,18.86,20.85,20.31,87.02
svm,early_vs_late_stage,energy,10,,80.0,75.18,74.42,77.67,73.33
svm,ptc_vs_mibc,energy,10,,57.75,56.82,57.78,57.52,51.43
svm,cancer_invasion,energy,10,average_best_absolute_distance_results,72.31,69.86,71.51,71.03,69.0
svm,cancer_stage,energy,10,average_best_absolute_distance_results,21.03,18.47,23.89,19.99,87.72
svm,early_vs_late_stage,energy,10,average_best_absolute_distance_results,72.31,65.18,69.08,68.0,60.0
svm,ptc_vs_mibc,energy,10,average_best_absolute_distance_results,65.58,64.92,66.11,65.32,62.86
svm,cancer_invasion,energy,10,average_generation_absolute_distance_results,70.77,64.52,70.38,64.39,41.0
svm,cancer_stage,energy,10,average_generation_absolute_distance_results,25.88,23.19,23.64,33.01,87.95
svm,early_vs_late_stage,energy,10,average_generation_absolute_distance_results,67.69,62.47,65.87,69.67,73.33
svm,ptc_vs_mibc,energy,10,average_generation_absolute_distance_results,57.92,57.2,60.1,58.87,68.57
svm,cancer_invasion,energy,10,average_mean_absolute_distance_results,72.31,69.23,70.46,69.28,58.0
svm,cancer_stage,energy,10,average_mean_absolute_distance_results,15.98,11.8,15.51,15.19,88.89
svm,early_vs_late_stage,energy,10,average_mean_absolute_distance_results,73.85,69.42,72.52,73.67,73.33
svm,ptc_vs_mibc,energy,10,average_mean_absolute_distance_results,67.25,66.48,68.08,66.85,62.86
svm,cancer_invasion,energy,20,,73.85,69.99,71.3,69.89,57.0
svm,cancer_stage,energy,20,,22.96,18.86,20.85,20.31,87.02
svm,early_vs_late_stage,energy,20,,80.0,75.18,74.42,77.67,73.33
svm,ptc_vs_mibc,energy,20,,57.75,56.82,57.78,57.52,51.43
svm,cancer_invasion,energy,20,average_best_absolute_distance_results,69.23,66.13,67.86,66.28,57.0
svm,cancer_stage,energy,20,average_best_absolute_distance_results,16.99,15.45,16.14,23.84,86.04
svm,early_vs_late_stage,energy,20,average_best_absolute_distance_results,63.08,57.62,60.32,62.0,60.0
svm,ptc_vs_mibc,energy,20,average_best_absolute_distance_results,60.5,60.18,61.02,60.6,62.86
svm,cancer_invasion,energy,20,average_generation_absolute_distance_results,67.69,64.78,68.31,65.31,57.0
svm,cancer_stage,energy,20,average_generation_absolute_distance_results,15.98,10.27,12.1,18.72,91.34
svm,early_vs_late_stage,energy,20,average_generation_absolute_distance_results,61.54,55.36,61.73,58.67,53.33
svm,ptc_vs_mibc,energy,20,average_generation_absolute_distance_results,59.08,57.94,59.53,58.85,57.14
svm,cancer_invasion,energy,20,average_mean_absolute_distance_results,66.15,62.93,64.19,62.92,50.0
svm,cancer_stage,energy,20,average_mean_absolute_distance_results,13.04,9.48,16.02,14.92,86.55
svm,early_vs_late_stage,energy,20,average_mean_absolute_distance_results,67.69,61.72,61.93,65.0,60.0
svm,ptc_vs_mibc,energy,20,average_mean_absolute_distance_results,67.25,66.27,68.22,66.49,57.14
svm,cancer_invasion,energy,30,,73.85,69.99,71.3,69.89,57.0
svm,cancer_stage,energy,30,,22.96,18.86,20.85,20.31,87.02
svm,early_vs_late_stage,energy,30,,80.0,75.18,74.42,77.67,73.33
svm,ptc_vs_mibc,energy,30,,57.75,56.82,57.78,57.52,51.43
svm,cancer_invasion,energy,30,average_best_absolute_distance_results,75.38,73.05,75.45,73.14,66.0
svm,cancer_stage,energy,30,average_best_absolute_distance_results,19.93,16.58,16.59,24.91,88.38
svm,early_vs_late_stage,energy,30,average_best_absolute_distance_results,69.23,63.51,65.83,68.33,66.67
svm,ptc_vs_mibc,energy,30,average_best_absolute_distance_results,66.08,62.83,63.88,64.56,48.57
svm,cancer_invasion,energy,30,average_generation_absolute_distance_results,73.85,68.77,73.6,68.39,49.0
svm,cancer_stage,energy,30,average_generation_absolute_distance_results,15.0,13.29,13.91,28.05,91.68
svm,early_vs_late_stage,energy,30,average_generation_absolute_distance_results,76.92,65.61,71.42,64.0,40.0
svm,ptc_vs_mibc,energy,30,average_generation_absolute_distance_results,52.58,50.14,52.49,51.53,40.0
svm,cancer_invasion,energy,30,average_mean_absolute_distance_results,72.31,68.99,70.28,68.53,54.0
svm,cancer_stage,energy,30,average_mean_absolute_distance_results,12.03,9.45,8.88,25.0,91.82
svm,early_vs_late_stage,energy,30,average_mean_absolute_distance_results,75.38,68.8,69.9,70.0,60.0
svm,ptc_vs_mibc,energy,30,average_mean_absolute_distance_results,64.5,62.59,65.65,63.13,45.71
svm,cancer_invasion,energy,40,,73.85,69.99,71.3,69.89,57.0
svm,cancer_stage,energy,40,,22.96,18.86,20.85,20.31,87.02
svm,early_vs_late_stage,energy,40,,80.0,75.18,74.42,77.67,73.33
svm,ptc_vs_mibc,energy,40,,57.75,56.82,57.78,57.52,51.43
svm,cancer_invasion,energy,40,average_best_absolute_distance_results,72.31,71.57,73.64,74.31,80.0
svm,cancer_stage,energy,40,average_best_absolute_distance_results,17.97,14.52,17.38,25.63,88.72
svm,early_vs_late_stage,energy,40,average_best_absolute_distance_results,70.77,61.75,68.32,64.67,53.33
svm,ptc_vs_mibc,energy,40,average_best_absolute_distance_results,67.08,66.44,67.26,66.53,60.0
svm,cancer_invasion,energy,40,average_generation_absolute_distance_results,70.77,69.48,70.59,70.92,71.0
svm,cancer_stage,energy,40,average_generation_absolute_distance_results,19.99,16.18,17.73,27.85,89.05
svm,early_vs_late_stage,energy,40,average_generation_absolute_distance_results,72.31,64.94,66.56,65.67,53.33
svm,ptc_vs_mibc,energy,40,average_generation_absolute_distance_results,69.5,69.2,71.17,70.14,80.0
svm,cancer_invasion,energy,40,average_mean_absolute_distance_results,73.85,70.26,72.28,69.78,54.0
svm,cancer_stage,energy,40,average_mean_absolute_distance_results,13.99,14.64,18.74,22.62,87.47
svm,early_vs_late_stage,energy,40,average_mean_absolute_distance_results,76.92,69.91,70.95,71.0,60.0
svm,ptc_vs_mibc,energy,40,average_mean_absolute_distance_results,63.17,61.47,62.79,62.06,48.57
svm,cancer_invasion,energy,50,,73.85,69.99,71.3,69.89,57.0
svm,cancer_stage,energy,50,,22.96,18.86,20.85,20.31,87.02
svm,early_vs_late_stage,energy,50,,80.0,75.18,74.42,77.67,73.33
svm,ptc_vs_mibc,energy,50,,57.75,56.82,57.78,57.52,51.43
svm,cancer_invasion,energy,50,average_best_absolute_distance_results,69.23,66.49,67.27,66.78,58.0
svm,cancer_stage,energy,50,average_best_absolute_distance_results,22.1,15.81,13.94,24.21,87.12
svm,early_vs_late_stage,energy,50,average_best_absolute_distance_results,67.69,60.45,61.15,62.67,53.33
svm,ptc_vs_mibc,energy,50,average_best_absolute_distance_results,64.5,63.97,64.64,63.99,57.14
svm,cancer_invasion,energy,50,average_generation_absolute_distance_results,63.08,61.09,67.43,65.42,75.0
svm,cancer_stage,energy,50,average_generation_absolute_distance_results,13.93,13.77,13.76,22.62,89.42
svm,early_vs_late_stage,energy,50,average_generation_absolute_distance_results,73.85,62.23,66.22,62.0,40.0
svm,ptc_vs_mibc,energy,50,average_generation_absolute_distance_results,63.08,62.58,63.86,63.27,65.71
svm,cancer_invasion,energy,50,average_mean_absolute_distance_results,72.31,68.86,70.5,68.53,54.0
svm,cancer_stage,energy,50,average_mean_absolute_distance_results,15.98,12.32,16.34,22.69,88.69
svm,early_vs_late_stage,energy,50,average_mean_absolute_distance_results,73.85,67.44,68.76,69.0,60.0
svm,ptc_vs_mibc,energy,50,average_mean_absolute_distance_results,63.17,61.43,63.78,61.88,45.71
svm,cancer_invasion,homogeneity,10,,73.85,69.75,74.38,69.25,51.0
svm,cancer_stage,homogeneity,10,,34.94,19.36,18.56,20.62,87.19
svm,early_vs_late_stage,homogeneity,10,,81.54,67.42,81.36,64.67,33.33
svm,ptc_vs_mibc,homogeneity,10,,67.42,66.56,68.63,67.76,68.57
svm,cancer_invasion,homogeneity,10,average_best_absolute_distance_results,55.38,51.94,56.97,55.47,54.0
svm,cancer_stage,homogeneity,10,average_best_absolute_distance_results,10.96,8.98,9.02,11.42,84.52
svm,early_vs_late_stage,homogeneity,10,average_best_absolute_distance_results,75.38,54.87,58.04,56.0,20.0
svm,ptc_vs_mibc,homogeneity,10,average_best_absolute_distance_results,60.67,59.73,61.38,60.02,51.43
svm,cancer_invasion,homogeneity,10,average_generation_absolute_distance_results,55.38,50.36,54.23,57.06,63.0
svm,cancer_stage,homogeneity,10,average_generation_absolute_distance_results,13.99,10.02,10.44,14.68,90.65
svm,early_vs_late_stage,homogeneity,10,average_generation_absolute_distance_results,69.23,59.94,60.38,61.33,46.67
svm,ptc_vs_mibc,homogeneity,10,average_generation_absolute_distance_results,57.83,57.3,58.31,58.1,62.86
svm,cancer_invasion,homogeneity,10,average_mean_absolute_distance_results,55.38,53.72,56.82,55.58,57.0
svm,cancer_stage,homogeneity,10,average_mean_absolute_distance_results,11.97,11.92,13.15,17.93,85.67
svm,early_vs_late_stage,homogeneity,10,average_mean_absolute_distance_results,66.15,58.04,59.13,61.67,53.33
svm,ptc_vs_mibc,homogeneity,10,average_mean_absolute_distance_results,59.33,58.84,60.42,60.16,71.43
svm,cancer_invasion,homogeneity,20,,73.85,69.75,74.38,69.25,51.0
svm,cancer_stage,homogeneity,20,,34.94,19.36,18.56,20.62,87.19
svm,early_vs_late_stage,homogeneity,20,,81.54,67.42,81.36,64.67,33.33
svm,ptc_vs_mibc,homogeneity,20,,67.42,66.56,68.63,67.76,68.57
svm,cancer_invasion,homogeneity,20,average_best_absolute_distance_results,52.31,40.99,39.53,45.89,24.0
svm,cancer_stage,homogeneity,20,average_best_absolute_distance_results,29.08,17.65,18.8,25.65,89.58
svm,early_vs_late_stage,homogeneity,20,average_best_absolute_distance_results,73.85,47.33,48.53,50.33,6.67
svm,ptc_vs_mibc,homogeneity,20,average_best_absolute_distance_results,74.83,73.98,76.05,74.56,68.57
svm,cancer_invasion,homogeneity,20,average_generation_absolute_distance_results,61.54,41.98,36.12,51.67,10.0
svm,cancer_stage,homogeneity,20,average_generation_absolute_distance_results,21.09,10.26,9.51,18.54,88.99
svm,early_vs_late_stage,homogeneity,20,average_generation_absolute_distance_results,60.0,52.94,56.8,60.0,60.0
svm,ptc_vs_mibc,homogeneity,20,average_generation_absolute_distance_results,64.42,64.02,65.71,65.06,74.29
svm,cancer_invasion,homogeneity,20,average_mean_absolute_distance_results,50.77,44.35,45.61,49.83,43.0
svm,cancer_stage,homogeneity,20,average_mean_absolute_distance_results,16.93,15.59,18.0,21.82,85.92
svm,early_vs_late_stage,homogeneity,20,average_mean_absolute_distance_results,61.54,51.27,52.31,51.67,33.33
svm,ptc_vs_mibc,homogeneity,20,average_mean_absolute_distance_results,64.58,64.19,66.05,65.34,74.29
svm,cancer_invasion,homogeneity,30,,73.85,69.75,74.38,69.25,51.0
svm,cancer_stage,homogeneity,30,,34.94,19.36,18.56,20.62,87.19
svm,early_vs_late_stage,homogeneity,30,,81.54,67.42,81.36,64.67,33.33
svm,ptc_vs_mibc,homogeneity,30,,67.42,66.56,68.63,67.76,68.57
svm,cancer_invasion,homogeneity,30,average_best_absolute_distance_results,61.54,49.89,59.72,52.64,20.0
svm,cancer_stage,homogeneity,30,average_best_absolute_distance_results,16.96,11.0,13.29,11.23,86.79
svm,early_vs_late_stage,homogeneity,30,average_best_absolute_distance_results,76.92,60.94,70.3,59.33,26.67
svm,ptc_vs_mibc,homogeneity,30,average_best_absolute_distance_results,60.58,58.56,64.05,59.84,48.57
svm,cancer_invasion,homogeneity,30,average_generation_absolute_distance_results,69.23,68.0,70.9,69.67,71.0
svm,cancer_stage,homogeneity,30,average_generation_absolute_distance_results,21.98,15.65,20.42,23.13,87.66
